employee_id,time_in_stamp,time_out_stamp,year,month,day
2197,07:00:AM,05:00:PM,2023,9,4
2197,07:00:AM,05:00:PM,2023,9,4
2198,07:15:AM,05:15:PM,2023,9,4
2199,07:30:AM,05:30:PM,2023,9,4
2200,07:45:AM,05:45:PM,2023,9,4
2201,08:00:AM,06:00:PM,2023,9,4
2202,08:15:AM,06:15:PM,2023,9,4
2203,08:30:AM,06:30:PM,2023,9,4
2204,08:45:AM,06:45:PM,2023,9,4
2205,09:00:AM,07:00:PM,2023,9,4
2206,09:15:AM,07:15:PM,2023,9,4
2207,09:30:AM,07:30:PM,2023,9,4
2208,09:45:AM,07:45:PM,2023,9,4
2209,10:00:AM,08:00:PM,2023,9,4
2210,07:00:AM,05:00:PM,2023,9,4
2211,07:15:AM,05:15:PM,2023,9,4
2212,07:30:AM,05:30:PM,2023,9,4
2213,07:45:AM,05:45:PM,2023,9,4
2214,08:00:AM,06:00:PM,2023,9,4
2215,08:15:AM,06:15:PM,2023,9,4
2216,08:30:AM,06:30:PM,2023,9,4
2217,08:45:AM,06:45:PM,2023,9,4
2218,09:00:AM,07:00:PM,2023,9,4
2219,09:15:AM,07:15:PM,2023,9,4
2220,09:30:AM,07:30:PM,2023,9,4
2221,09:45:AM,07:45:PM,2023,9,4
2222,07:00:AM,08:00:PM,2023,9,4
2223,07:15:AM,05:00:PM,2023,9,4
2224,07:30:AM,05:15:PM,2023,9,4
2225,07:45:AM,05:30:PM,2023,9,4
2226,08:00:AM,05:45:PM,2023,9,4
2227,08:15:AM,06:00:PM,2023,9,4
2197,06:03:AM,05:00:PM,2023,9,5
2198,07:10:AM,05:15:PM,2023,9,5
2199,07:23:AM,05:30:PM,2023,9,5
2200,05:45:AM,05:45:PM,2023,9,5
2201,06:55:AM,06:00:PM,2023,9,5
2202,07:12:AM,06:15:PM,2023,9,5
2203,05:30:AM,06:30:PM,2023,9,5
2204,06:40:AM,06:45:PM,2023,9,5
2205,07:55:AM,07:00:PM,2023,9,5
2206,05:15:AM,07:15:PM,2023,9,5
2207,06:30:AM,07:30:PM,2023,9,5
2208,07:42:AM,07:45:PM,2023,9,5
2209,05:10:AM,08:00:PM,2023,9,5
2210,06:20:AM,05:00:PM,2023,9,5
2211,07:35:AM,05:15:PM,2023,9,5
2212,05:50:AM,05:30:PM,2023,9,5
2213,06:57:AM,05:45:PM,2023,9,5
2214,07:15:AM,06:00:PM,2023,9,5
2215,05:25:AM,06:15:PM,2023,9,5
2216,06:37:AM,06:30:PM,2023,9,5
2217,07:50:AM,06:45:PM,2023,9,5
2218,05:08:AM,07:00:PM,2023,9,5
2219,06:18:AM,07:15:PM,2023,9,5
2220,07:33:AM,07:30:PM,2023,9,5
2221,05:52:AM,07:45:PM,2023,9,5
2222,06:59:AM,08:00:PM,2023,9,5
2223,07:17:AM,05:00:PM,2023,9,5
2224,05:28:AM,05:15:PM,2023,9,5
2225,06:40:AM,05:30:PM,2023,9,5
2226,07:55:AM,05:45:PM,2023,9,5
2227,05:15:AM,06:00:PM,2023,9,5
2197,06:03:AM,05:30:PM,2023,9,6
2198,07:10:AM,05:45:PM,2023,9,6
2199,07:23:AM,06:00:PM,2023,9,6
2200,05:45:AM,06:15:PM,2023,9,6
2201,06:55:AM,06:30:PM,2023,9,6
2202,07:12:AM,06:45:PM,2023,9,6
2203,05:30:AM,07:00:PM,2023,9,6
2204,06:40:AM,07:15:PM,2023,9,6
2205,07:55:AM,07:30:PM,2023,9,6
2206,05:15:AM,07:45:PM,2023,9,6
2207,06:30:AM,08:00:PM,2023,9,6
2208,07:42:AM,08:15:PM,2023,9,6
2209,05:10:AM,08:30:PM,2023,9,6
2210,06:20:AM,05:30:PM,2023,9,6
2211,07:35:AM,05:45:PM,2023,9,6
2212,05:50:AM,06:00:PM,2023,9,6
2213,06:57:AM,06:15:PM,2023,9,6
2214,07:15:AM,06:30:PM,2023,9,6
2215,05:25:AM,06:45:PM,2023,9,6
2216,06:37:AM,07:00:PM,2023,9,6
2217,07:50:AM,07:15:PM,2023,9,6
2218,05:08:AM,07:30:PM,2023,9,6
2219,06:18:AM,07:45:PM,2023,9,6
2220,07:33:AM,08:00:PM,2023,9,6
